api-1  | [2026-02-09 19:36:50 +0000] [1] [INFO] Starting gunicorn 25.0.3
api-1  | [2026-02-09 19:36:50 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
api-1  | [2026-02-09 19:36:50 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
api-1  | [2026-02-09 19:36:50 +0000] [8] [INFO] Booting worker with pid: 8
api-1  | [2026-02-09 19:36:50 +0000] [9] [INFO] Booting worker with pid: 9
api-1  | [2026-02-09 19:36:51 +0000] [9] [INFO] Started server process [9]
api-1  | [2026-02-09 19:36:51 +0000] [8] [INFO] Started server process [8]
api-1  | [2026-02-09 19:36:51 +0000] [8] [INFO] Waiting for application startup.
api-1  | [2026-02-09 19:36:51 +0000] [9] [INFO] Waiting for application startup.
api-1  | {"timestamp": "2026-02-09T19:36:51.488888+00:00", "level": "INFO", "logger": "app.core.observability", "message": "OTEL_EXPORTER_OTLP_ENDPOINT not set, skipping OpenTelemetry setup"}
api-1  | {"timestamp": "2026-02-09T19:36:51.488914+00:00", "level": "INFO", "logger": "app.core.observability", "message": "OTEL_EXPORTER_OTLP_ENDPOINT not set, skipping OpenTelemetry setup"}
api-1  | [2026-02-09 19:36:51 +0000] [9] [INFO] Application startup complete.
api-1  | [2026-02-09 19:36:51 +0000] [8] [INFO] Application startup complete.
api-1  | {"timestamp": "2026-02-09T19:36:51.904736+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "432709e6-8759-4ca8-9ccd-e7b3e88a3767", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 17.13}
api-1  | /usr/local/lib/python3.11/site-packages/fastapi/openapi/utils.py:255: UserWarning: Duplicate Operation ID preview_document_api_assignments__assignment_id__documents__document_id__preview_get for function preview_document at /app/app/routers/documents.py
api-1  |   warnings.warn(message, stacklevel=1)
api-1  | {"timestamp": "2026-02-09T19:36:52.155858+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "71ede40b-df6e-4441-969b-3452865fa658", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 628.29}
api-1  | {"timestamp": "2026-02-09T19:36:54.171145+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "201353b9-d95a-4f85-8797-ee5a2444793e", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 14.61}
api-1  | {"timestamp": "2026-02-09T19:36:58.244777+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "f175c587-b810-42fb-817b-ba369b27ee3a", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 2.22}
api-1  | {"timestamp": "2026-02-09T19:37:06.529482+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "37e2e9be-3c72-4e16-9b89-0d1a65149549", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 11.08}
api-1  | {"timestamp": "2026-02-09T19:37:06.898407+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "cdf0526c-a7c7-4530-a0d4-0866f9d37656", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 6.41}
api-1  | {"timestamp": "2026-02-09T19:37:13.251133+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "11282687-9d64-4ac3-b7c5-34550465fec1", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 2.65}
api-1  | {"timestamp": "2026-02-09T19:37:21.542337+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "87b2c7d2-d476-4c09-8b48-9d4e71b76307", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 17.47}
api-1  | {"timestamp": "2026-02-09T19:37:21.889440+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "5068b4f0-1f47-4988-95a6-94c2b95a6bff", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 4.47}
api-1  | {"timestamp": "2026-02-09T19:37:24.232973+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "6847305f-8d03-4ea5-b7b4-bfa8c1ddbc70", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 4.79}
api-1  | {"timestamp": "2026-02-09T19:37:28.245445+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "ef89eac7-2612-4a9b-b022-7737f5ea9a9c", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 3.86}
api-1  | {"timestamp": "2026-02-09T19:37:36.886850+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "c67074d4-346b-4047-a4a0-d6b60e7ffd16", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 2.57}
api-1  | /usr/local/lib/python3.11/site-packages/fastapi/openapi/utils.py:255: UserWarning: Duplicate Operation ID preview_document_api_assignments__assignment_id__documents__document_id__preview_get for function preview_document at /app/app/routers/documents.py
api-1  |   warnings.warn(message, stacklevel=1)
api-1  | {"timestamp": "2026-02-09T19:37:37.233209+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "e9fa65e0-4dff-42f9-be88-3d7562e603fc", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 713.44}
api-1  | {"timestamp": "2026-02-09T19:37:43.252089+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "e01bc4c9-2613-439b-a08d-541c2515cab8", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 1.43}
api-1  | {"timestamp": "2026-02-09T19:37:49.595401+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "175970a9-a5d2-4262-86f6-f8e0a4af41ea", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 8.56}
